source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,azero_gspphot,bp_g,bp_rp,distance_gspphot,ebpminrp_gspphot,g_rp,grvs_mag,grvs_mag_error,libname_gspphot,logg_gspphot,mh_gspphot,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error
65199806872742144,Gaia DR3 65199806872742144,56.73388582940753,23.818211351968717,166.77816512626367,-23.75172331358991,59.806924569027316,3.798334298462891,0.4194831958464894,-3.670382131993762,-7.619210938934376,18.778223,18.562391,17.455475,0.34489375,0.23414195,0.41809067,0.44285083,0.2467914,1.037399,,,-0.21583176,1.1069164,,,1.3227482,,,,,,513.4054189411844,33.685226,580.3061485075507,1.946206,825.9775399726935,53.409603,,,2016.0,,,
65199841232481152,Gaia DR3 65199841232481152,56.73839052145953,23.826907223783653,166.77508891301827,-23.74252160249886,59.81286024778045,3.8059186643004073,0.47319073602146944,1.6226919741408594,1.24918332038416,20.607857,21.816376,19.51001,0.8282315,0.582085,0.98507667,1.2449428,0.7906127,1.0277079,,,1.208519,2.306366,,,1.097847,,,,,,25.636955672134857,6.8087187,107.59789473028098,0.9457431,124.49575614175644,14.819511,,,2016.0,,,
65199841233799424,Gaia DR3 65199841233799424,56.746746209179705,23.82264767428908,166.7843940305326,-23.740516818015678,59.81940217196895,3.800091077032217,0.3356327733222659,1.874239239034834,-1.4001419882537052,16.105232,16.521257,15.518109,0.048398223,0.033224918,0.05868571,0.059087638,0.041440867,0.9936297,0.4673,0.5612,0.41602516,1.0031481,1315.754,0.2545,0.5871229,,,MARCS,4.4785,-0.7634,3364.4459214285275,15.930361,6805.405814826573,3.464772,4919.425991001123,22.483347,,,2016.0,5867.655,,
65199871296781952,Gaia DR3 65199871296781952,56.7239384156492,23.83431468092822,166.75896465316717,-23.745956584289555,59.801555220965106,3.816037910642245,0.28446672613763824,-1.8426406363948773,-1.6712854987643897,17.944712,18.436375,17.295626,0.12715797,0.094213374,0.15252987,0.16364685,0.11128411,1.039226,0.007,0.0088,0.49166298,1.140749,1273.7891,0.0038,0.649086,,,PHOENIX,4.8798,-2.4171,576.5898707489891,22.388262,1250.4376177692093,1.5603981,956.9911933553085,12.287318,,,2016.0,4870.969,,
65199909952080896,Gaia DR3 65199909952080896,56.734148718392134,23.84568760085529,166.75813223118305,-23.731260253368003,59.813181428426226,3.8250929755611085,1.0325558946673543,3.0576330793568784,-4.512209026440855,20.759588,20.829256,19.762918,0.9505031,0.78345275,1.1346502,1.438903,0.96449316,0.9335361,,,0.069667816,1.0663376,,,0.99666977,,,,,,63.63773469941662,15.451266,93.56455605732428,0.9192155,98.62583635295044,11.288916,,,2016.0,,,
65200665865659904,Gaia DR3 65200665865659904,56.725372082355676,23.839842923226715,166.75595418190358,-23.740987931030862,59.80404957490578,3.8211454496281747,1.015837673067581,-3.2009973172505193,-15.454992236860024,19.425652,20.522055,18.300486,0.3191454,0.23944712,0.37796333,0.42192444,0.28533906,1.0370657,,,1.0964031,2.221569,,,1.1251659,,,,,,84.44913394634425,12.878397,319.6585029708075,1.0101552,379.28346383749226,10.89077,,,2016.0,,,
65200665867519616,Gaia DR3 65200665867519616,56.727675767647725,23.84315690015845,166.75521594935122,-23.737119382065092,59.806836699089814,3.8239183179357945,0.8772166317475465,0.8151668801053069,0.19718047016720394,19.718594,20.477266,18.801643,0.42874074,0.3177194,0.50257164,0.5524656,0.37130192,1.0481428,,,0.7586727,1.6756229,,,0.9169502,,,,,,88.00553709880009,5.6578407,244.06723099274524,1.0006512,239.05655720536433,7.956555,,,2016.0,,,
65200730290260224,Gaia DR3 65200730290260224,56.715376613151186,23.853030225832775,166.73886816821476,-23.737401189171706,59.79800016264451,3.8360132725069978,0.6163405991380098,2.3409533606920965,-6.23982944714577,18.505775,19.15037,17.650408,0.18524997,0.13104594,0.2180579,0.23069432,0.15666309,1.0491713,0.0212,0.0288,0.6445942,1.4999619,698.741,0.0114,0.85536766,,,PHOENIX,4.9947,-1.4352,298.7230062346693,11.196299,745.8241966544101,1.321384,690.2316301220263,13.689285,,,2016.0,4023.6038,,
65200730290272000,Gaia DR3 65200730290272000,56.717441148193394,23.861191565611712,166.73438715527223,-23.730097365846355,59.80163629078368,3.8435637946601307,0.038030313863171426,1.2898888752522053,-3.391117700271642,19.001677,19.652328,18.243856,0.29274997,0.19945751,0.3484023,0.3454119,0.2409701,0.9957204,,,0.65065193,1.4084721,,,0.7578201,,,,,,188.1419963585717,9.403948,472.36309811290164,1.1703851,399.5912251069658,4.6870985,,,2016.0,,,
65200730290272512,Gaia DR3 65200730290272512,56.71438739847132,23.861205156962814,166.73212236371404,-23.731968473389816,59.798908048630594,3.844188075789332,1.5446071241001758,9.126797448643156,-9.200698348279484,17.589174,18.642052,16.55794,0.105292805,0.080922194,0.12645845,0.13284534,0.09896243,0.97663146,0.7229,1.034,1.0528774,2.0841122,480.7501,0.4005,1.0312347,,,MARCS,4.778,-0.5186,477.0856274023428,11.279235,1734.911792689163,2.0888364,1887.914575969011,9.877384,,,2016.0,3917.4182,,
