Difference,Parameter,Reference,
-0.46000004,Gre,Hoyos et al. (2011),Hoya
-0.45899963,Gre,Hoyos et al. (2011),Hoya
-0.455200033,Gre,Hoyos et al. (2011),Hoya
-0.45360003,Gre,Hoyos et al. (2011),Hoya
-0.451999967,Gre,Hoyos et al. (2011),Hoya
-0.4500003,Gre,Hoyos et al. (2011),Hoya
-0.441200038,Gre,Hoyos et al. (2011),Hoya
-0.44000006,Gre,Hoyos et al. (2011),Hoya
-0.43999982,Gre,Hoyos et al. (2011),Hoya
-0.432399969,Gre,Hoyos et al. (2011),Hoya
-0.43039999,Gre,Hoyos et al. (2011),Hoya
-0.4300003,Gre,Hoyos et al. (2011),Hoya
-0.42999995,Gre,Hoyos et al. (2011),Hoya
-0.42999983,Gre,Hoyos et al. (2011),Hoya
-0.427200022,Gre,Hoyos et al. (2011),Hoya
-0.420399971,Gre,Hoyos et al. (2011),Hoya
-0.42000008,Gre,Hoyos et al. (2011),Hoya
-0.42000002,Gre,Hoyos et al. (2011),Hoya
-0.417599998,Gre,Hoyos et al. (2011),Hoya
-0.416000075,Gre,Hoyos et al. (2011),Hoya
-0.410799799,Gre,Hoyos et al. (2011),Hoya
-0.40999997,Gre,Hoyos et al. (2011),Hoya
-0.40000153,Gre,Hoyos et al. (2011),Hoya
-0.4000001,Gre,Hoyos et al. (2011),Hoya
-0.400000024,Gre,Hoyos et al. (2011),Hoya
-0.398399987,Gre,Hoyos et al. (2011),Hoya
-0.398000083,Gre,Hoyos et al. (2011),Hoya
-0.396800016,Gre,Hoyos et al. (2011),Hoya
-0.392800004,Gre,Hoyos et al. (2011),Hoya
-0.390000014,Gre,Hoyos et al. (2011),Hoya
-0.39,Gre,Hoyos et al. (2011),Hoya
-0.38999987,Gre,Hoyos et al. (2011),Hoya
-0.385199953,Gre,Hoyos et al. (2011),Hoya
-0.37000084,Gre,Hoyos et al. (2011),Hoya
-0.361600089,Gre,Hoyos et al. (2011),Hoya
-0.36,Gre,Hoyos et al. (2011),Hoya
-0.354000015,Gre,Hoyos et al. (2011),Hoya
-0.351600142,Gre,Hoyos et al. (2011),Hoya
-0.350800014,Gre,Hoyos et al. (2011),Hoya
-0.350000001,Gre,Hoyos et al. (2011),Hoya
-0.34999996,Gre,Hoyos et al. (2011),Hoya
-0.3409996,Gre,Hoyos et al. (2011),Hoya
-0.338399973,Gre,Hoyos et al. (2011),Hoya
-0.32000005,Gre,Hoyos et al. (2011),Hoya
-0.31999993,Gre,Hoyos et al. (2011),Hoya
-0.31999993,Gre,Hoyos et al. (2011),Hoya
-0.318399973,Gre,Hoyos et al. (2011),Hoya
-0.31040001,Gre,Hoyos et al. (2011),Hoya
-0.30999994,Gre,Hoyos et al. (2011),Hoya
-0.308399911,Gre,Hoyos et al. (2011),Hoya
-0.306400003,Gre,Hoyos et al. (2011),Hoya
-0.302400031,Gre,Hoyos et al. (2011),Hoya
-0.30000114,Gre,Hoyos et al. (2011),Hoya
-0.3000002,Gre,Hoyos et al. (2011),Hoya
-0.292800007,Gre,Hoyos et al. (2011),Hoya
-0.2928,Gre,Hoyos et al. (2011),Hoya
-0.292400103,Gre,Hoyos et al. (2011),Hoya
-0.29000092,Gre,Hoyos et al. (2011),Hoya
-0.28999996,Gre,Hoyos et al. (2011),Hoya
-0.28999996,Gre,Hoyos et al. (2011),Hoya
-0.289999,Gre,Hoyos et al. (2011),Hoya
-0.28899956,Gre,Hoyos et al. (2011),Hoya
-0.287599983,Gre,Hoyos et al. (2011),Hoya
-0.287599972,Gre,Hoyos et al. (2011),Hoya
-0.282799973,Gre,Hoyos et al. (2011),Hoya
-0.2819996,Gre,Hoyos et al. (2011),Hoya
-0.27999997,Gre,Hoyos et al. (2011),Hoya
-0.27999997,Gre,Hoyos et al. (2011),Hoya
-0.27999973,Gre,Hoyos et al. (2011),Hoya
-0.271600053,Gre,Hoyos et al. (2011),Hoya
-0.27000046,Gre,Hoyos et al. (2011),Hoya
-0.26999998,Gre,Hoyos et al. (2011),Hoya
-0.26999998,Gre,Hoyos et al. (2011),Hoya
-0.260399992,Gre,Hoyos et al. (2011),Hoya
-0.26,Gre,Hoyos et al. (2011),Hoya
-0.256799991,Gre,Hoyos et al. (2011),Hoya
-0.25,Gre,Hoyos et al. (2011),Hoya
-0.248400007,Gre,Hoyos et al. (2011),Hoya
-0.2480011,Gre,Hoyos et al. (2011),Hoya
-0.247200022,Gre,Hoyos et al. (2011),Hoya
-0.24000001,Gre,Hoyos et al. (2011),Hoya
-0.24000001,Gre,Hoyos et al. (2011),Hoya
-0.23999977,Gre,Hoyos et al. (2011),Hoya
-0.23999977,Gre,Hoyos et al. (2011),Hoya
-0.23999977,Gre,Hoyos et al. (2011),Hoya
-0.22999954,Gre,Hoyos et al. (2011),Hoya
-0.223999958,Gre,Hoyos et al. (2011),Hoya
